Location,Depth to cobble,Easting,Northing,Grade Elevation,Hor. error,Vert. error,Survey Method
SR-OBJ2-D,160-198,324141.714,4308678.298,2725.935,0.016,0.117,RTK
SR-OBJ1-M,258,324105.355,4308708.779,2726.346,0.016,0.117,RTK
SR-OBJ-GBPiezo-2,223,324083.484,4308684.202,2726.361,0.017,0.118,RTK
SR-OBJ4-GBPiezo-245,218,324106.759,4308685.607,2726.074,0.017,0.117,RTK
SR-OBJ-GBPiezo-4,98,324123.315,4308645.663,2725.989,0.021,0.126,RTK
SR-OBJ-GBPiezo-5,208,324137.136,4308643.753,2725.831,0.02,0.12,RTK
SR-OBJ-GBPiezo-6,190,324172.355,4308655.274,2725.453,0.016,0.117,RTK
SR-OBJ-GBPiezo-7,220,324163.979,4308686.213,2725.699,0.016,0.117,RTK
SR-OBJ-GBPiezo-8,225,324122.567,4308700.243,2726.159,0.017,0.117,RTK
SR-OBJ-ET1,220,324095.253,4308695.77,2726.276,0.016,0.117,RTK
SR-OBJ-ET2,210,324084.167,4308684.43,2726.342,0.017,0.117,RTK
SR-OBJ-ET3,235,324110.204,4308690.068,2726.135,0.016,0.117,RTK
SR-OBJ-ET4,195,324122.99,4308680.622,2725.964,0.016,0.117,RTK
Oct2018-a1,>211,324104.388,4308712.953,2726.028,0.3,0.6,Trimble GeoXT
Oct2018-a2,>211,324096.742,4308698.548,2725.96,0.3,0.6,Trimble GeoXT
Oct2018-a3,>211,324092.318,4308682.007,2725.941,0.3,0.7,Trimble GeoXT
Oct2018-b1,>211,324117.472,4308703.575,2725.885,0.3,0.6,Trimble GeoXT
Oct2018-b2,193,324114.772,4308692.634,2725.617,0.4,0.7,Trimble GeoXT
Oct2018-b3,>211,324107.225,4308684.489,2725.767,0.3,0.6,Trimble GeoXT
Oct2018-b4,>211,324101.666,4308680.377,2726.032,0.3,0.6,Trimble GeoXT
Oct2018-b5,191,324111.852,4308673.599,2725.477,0.4,0.7,Trimble GeoXT
Oct2018-c1,>211,324128.169,4308694.261,2725.488,0.4,0.7,Trimble GeoXT
Oct2018-c2,>211,324121.105,4308685.938,2725.448,0.4,0.7,Trimble GeoXT
Oct2018-c3,164,324120.655,4308678.897,2725.274,0.3,0.7,Trimble GeoXT
Oct2018-c4,171,324114.086,4308664.694,2726.461,0.4,0.7,Trimble GeoXT
Oct2018-d1,>211,324136.928,4308687.394,2725.123,0.3,0.7,Trimble GeoXT
Oct2018-d2,157,324139.187,4308683.41,2725.472,0.4,0.8,Trimble GeoXT
Oct2018-d3,191,324133.49,4308679.694,2724.876,0.4,0.7,Trimble GeoXT