Location,Depth to Gravel (m),Easting (m),Northing (m)
SR-OBJ2-D,198,324141.714,4308678.298
SR-OBJ1-M,258,324105.355,4308708.779
SR-OBJ-GBPiezo-2,223,324083.484,4308684.202
SR-OBJ4-GBPiezo-245,218,324106.759,4308685.607
SR-OBJ-GBPiezo-4,98,324123.315,4308645.663
SR-OBJ-GBPiezo-5,208,324137.136,4308643.753
SR-OBJ-GBPiezo-6,190,324172.355,4308655.274
SR-OBJ-GBPiezo-7,220,324163.979,4308686.213
SR-OBJ-GBPiezo-8,225,324122.567,4308700.243
SR-OBJ-ET1,220,324095.253,4308695.77
SR-OBJ-ET2,210,324084.167,4308684.43
SR-OBJ-ET3,235,324110.204,4308690.068
SR-OBJ-ET4,195,324122.99,4308680.622
Oct2018-b2,193,324114.772,4308692.634
Oct2018-b5,191,324111.852,4308673.599
Oct2018-c3,164,324120.655,4308678.897
Oct2018-c4,171,324114.086,4308664.694
Oct2018-d2,157,324139.187,4308683.41
Oct2018-d3,191,324133.49,4308679.694
Field_obs1,0,324124,4308581
Field_obs2,80,324075,4308620
Field_obs3,0,324055,4308565