Location,Depth to Bedrock (m),Easting (m),Northing (m)
494GB01,10.71,324073.52325308917,4308674.101452729
486GB01,11.54,324099.0188343518,4308650.215958567
513GB01,11.01,324116.01597456983,4308634.292344825
486GB2,15.79,324108.8507125296,4308702.186
513GB02,12,324099.36452512513,4308665.753743293
486GB3,15.89,324107.9371420078,4308661.121456411
513GB03,15.99,324109.2952,4308722.162755537
494GB04,15,324117.1023,4308683.125381318
513GB04,13.11,324099.9571403309,4308692.389946437
485GB1,10.67,324107.44332316844,4308638.924621616
494GB05,15.5,324099.58675546444,4308675.742319359
513GB05,10.08,324108.35688971204,4308679.988766513
494GB06,10.52,324090.4462098301,4308654.848254814
486GB4,15.5,324117.00356479903,4308678.686014229
513GB06,10.3,324082.4416,4308685.006922494
485GB3,15.5,324117.54674309137,4308703.102533542
494GB07,9.38,324107.51739585726,4308642.254146794
494GB03,15.59,324108.48034521483,4308685.537975457
486GB5,14.29,324099.7842939093,4308684.6210537525
513GB07,10.52,324082.14523639967,4308671.689
494GB08,7.55,324081.0339803614,4308621.745940594
485GB2,11.01,324134.59317132976,4308689.398639276
486GB6,14.37,324099.71021695214,4308681.291528343
513GB08,8.33,324073.3009899473,4308664.112876299
494GB10,2.35,324080.4166206005,4308594
486GB07,10.9,324116.80604606506,4308669.807280136
S485P4L4H,11.11,324142.84485930507,4308670.338447832
513GB11,7.59,324115.8925263959,4308628.743136337
494GB11,5.9,324116.7813562475,4308668.697438382
486GB08,8.16,324108.18405223393,4308672.219874058
513GB12,1.63,324132.7169383734,4308605.050670639
485GB5,13.49,324108.1593611871,4308671.1100322865
494GB12,16.09,324117.4479832082,4308698.663166334
513GB13,8.13,324150.2326233315,4308612.433809457
485GB6,6.4,324063.78990788973,4308626.571212842
494GB14,12.18,324160.9034382008,4308702.138122258
513GB14,8.39,324132.791,4308608.380195534
485GB08,1.84,324080.6141753583,4308602.878631251
485GB09,5.39,324114.2136445738,4308553.274
485GB10,4.84,324115.4234245609,4308607.656144463
485GB11,5.7,324132.61819013045,4308600.611304134
485GB13,9.57,324098.7225288134,4308636.897857634
Hillslope,0,324055,4308565