ParameterColumnName,StartDateTime.MST,SensorMake,SensorModel,SensorSN,SensorAccuracy,SensorRange,DataQAQC,Easting.UTM.13N,Northing.UTM.13N,GradeElevation.masl,WaterBodyType,SensorContext,ScreenIntervalTop.m,ScreenIntervalBottom.m,InstallationSediment,SiteName,Institution
SR-OBJ1-D_WaterTemp.deg.C,10/25/19 0:00,Onset,HOBO U20L-04,20698254,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324105.195,4308708.726,2726.364,groundwater [ENVO:01001004],Well,3.537,3.689,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ1-D_DTW.m,10/25/19 0:00,Onset,HOBO U20L-04,20698254,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324105.195,4308708.726,2726.364,groundwater [ENVO:01001004],Well,3.537,3.689,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ1-D_WaterLevelElev.masl,10/25/19 0:00,Onset,HOBO U20L-04,20698254,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324105.195,4308708.726,2726.364,groundwater [ENVO:01001004],Well,3.537,3.689,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ1-M_WaterTemp.deg.C,10/25/19 0:00,Onset,HOBO U20L-04,20698256,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324105.422,4308708.769,2726.346,groundwater [ENVO:01001004],Well,1.835,1.987,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ1-M_DTW.m,10/25/19 0:00,Onset,HOBO U20L-04,20698256,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324105.422,4308708.769,2726.346,groundwater [ENVO:01001004],Well,1.835,1.987,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ1-M_WaterLevelElev.masl,10/25/19 0:00,Onset,HOBO U20L-04,20698256,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324105.422,4308708.769,2726.346,groundwater [ENVO:01001004],Well,1.835,1.987,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ1-S_WaterTemp.deg.C,10/25/19 0:00,Onset,HOBO U20L-04,20698252,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324105.305,4308708.933,2726.373,groundwater [ENVO:01001004],Well,1.199,1.351,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ1-S_DTW.m,10/25/19 0:00,Onset,HOBO U20L-04,20698252,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324105.305,4308708.933,2726.373,groundwater [ENVO:01001004],Well,1.199,1.351,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ1-S_WaterLevelElev.masl,10/25/19 0:00,Onset,HOBO U20L-04,20698252,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324105.305,4308708.933,2726.373,groundwater [ENVO:01001004],Well,1.199,1.351,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ2-D_WaterTemp.deg.C,10/25/19 0:00,Onset,HOBO U20L-04,20698227,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324141.76,4308678.336,2725.935,groundwater [ENVO:01001004],Well,2.862,3.014,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ2-D_DTW.m,10/25/19 0:00,Onset,HOBO U20L-04,20698227,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324141.76,4308678.336,2725.935,groundwater [ENVO:01001004],Well,2.862,3.014,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ2-D_WaterLevelElev.masl,10/25/19 0:00,Onset,HOBO U20L-04,20698227,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324141.76,4308678.336,2725.935,groundwater [ENVO:01001004],Well,2.862,3.014,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ2-M_WaterTemp.deg.C,10/25/19 0:00,Onset,HOBO U20L-04,20698253,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324141.59,4308678.544,2725.922,groundwater [ENVO:01001004],Well,1.766,1.918,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ2-M_DTW.m,10/25/19 0:00,Onset,HOBO U20L-04,20698253,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324141.59,4308678.544,2725.922,groundwater [ENVO:01001004],Well,1.766,1.918,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ2-M_WaterLevelElev.masl,10/25/19 0:00,Onset,HOBO U20L-04,20698253,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324141.59,4308678.544,2725.922,groundwater [ENVO:01001004],Well,1.766,1.918,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ2-S_WaterTemp.deg.C,10/25/19 0:00,Onset,HOBO U20L-04,20698250,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324141.844,4308678.574,2725.915,groundwater [ENVO:01001004],Well,1.191,1.343,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ2-S_DTW.m,10/25/19 0:00,Onset,HOBO U20L-04,20698250,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324141.844,4308678.574,2725.915,groundwater [ENVO:01001004],Well,1.191,1.343,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ2-S_WaterLevelElev.masl,10/25/19 0:00,Onset,HOBO U20L-04,20698250,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324141.844,4308678.574,2725.915,groundwater [ENVO:01001004],Well,1.191,1.343,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-Piezo-140_WaterTemp.deg.C,7/11/20 0:00,Onset,HOBO U20L-04,20698257,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324106.902,4308686.111,2726.117,groundwater [ENVO:01001004],Well,1.324,1.476,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-Piezo-140_DTW.m,7/11/20 0:00,Onset,HOBO U20L-04,20698257,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324106.902,4308686.111,2726.117,groundwater [ENVO:01001004],Well,1.324,1.476,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-Piezo-140_WaterLevelElev.masl,7/11/20 0:00,Onset,HOBO U20L-04,20698257,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324106.902,4308686.111,2726.117,groundwater [ENVO:01001004],Well,1.324,1.476,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-Piezo-200_WaterTemp.deg.C,7/11/20 0:00,Onset,HOBO U20L-04,20698223,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324106.673,4308686.075,2726.117,groundwater [ENVO:01001004],Well,1.924,2.076,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-Piezo-200_DTW.m,7/11/20 0:00,Onset,HOBO U20L-04,20698223,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324106.673,4308686.075,2726.117,groundwater [ENVO:01001004],Well,1.924,2.076,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-Piezo-200_WaterLevelElev.masl,7/11/20 0:00,Onset,HOBO U20L-04,20698223,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324106.673,4308686.075,2726.117,groundwater [ENVO:01001004],Well,1.924,2.076,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-GBPiezo-245_WaterTemp.deg.C,7/6/20 0:00,Onset,HOBO U20L-04,20854453,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324106.814,4308685.626,2726.074,groundwater [ENVO:01001004],Well,2.374,2.526,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-GBPiezo-245_DTW.m,7/6/20 0:00,Onset,HOBO U20L-04,20854453,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324106.814,4308685.626,2726.074,groundwater [ENVO:01001004],Well,2.374,2.526,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-GBPiezo-245_WaterLevelElev.masl,7/6/20 0:00,Onset,HOBO U20L-04,20854453,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324106.814,4308685.626,2726.074,groundwater [ENVO:01001004],Well,2.374,2.526,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-GBPiezo-335_WaterTemp.deg.C,7/6/20 0:00,Onset,HOBO U20L-04,20854444,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324107.16,4308685.814,2726.096,groundwater [ENVO:01001004],Well,3.274,3.426,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-GBPiezo-335_DTW.m,7/6/20 0:00,Onset,HOBO U20L-04,20854444,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324107.16,4308685.814,2726.096,groundwater [ENVO:01001004],Well,3.274,3.426,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-GBPiezo-335_WaterLevelElev.masl,7/6/20 0:00,Onset,HOBO U20L-04,20854444,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324107.16,4308685.814,2726.096,groundwater [ENVO:01001004],Well,3.274,3.426,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-DSofDAM-VHG-90_WaterTemp.deg.C,6/28/21 12:00,Onset,HOBO U20L-04,21132065,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.79,4308686.51,2725.669,groundwater [ENVO:01001004],Well,0.824,0.976,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-DSofDAM-VHG-90_DTW.m,6/28/21 12:00,Onset,HOBO U20L-04,21132065,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.79,4308686.51,2725.669,groundwater [ENVO:01001004],Well,0.824,0.976,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-DSofDAM-VHG-90_WaterLevelElev.masl,6/28/21 12:00,Onset,HOBO U20L-04,21132065,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.79,4308686.51,2725.669,groundwater [ENVO:01001004],Well,0.824,0.976,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-DSofDAM-VHG-160_WaterTemp.deg.C,6/28/21 12:00,Onset,HOBO U20L-04,21145253,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.69,4308686.37,2725.682,groundwater [ENVO:01001004],Well,1.524,1.676,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-DSofDAM-VHG-160_DTW.m,6/28/21 12:00,Onset,HOBO U20L-04,21145253,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.69,4308686.37,2725.682,groundwater [ENVO:01001004],Well,1.524,1.676,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-DSofDAM-VHG-160_WaterLevelElev.masl,6/28/21 12:00,Onset,HOBO U20L-04,21145253,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.69,4308686.37,2725.682,groundwater [ENVO:01001004],Well,1.524,1.676,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ-GBPiezo-7_WaterTemp.deg.C,7/31/20 0:00,Onset,HOBO U20L-04,20854450,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.99,4308686.179,2725.699,groundwater [ENVO:01001004],Well,3.234,3.386,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ-GBPiezo-7_DTW.m,7/31/20 0:00,Onset,HOBO U20L-04,20854450,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.99,4308686.179,2725.699,groundwater [ENVO:01001004],Well,3.234,3.386,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ-GBPiezo-7_WaterLevelElev.masl,7/31/20 0:00,Onset,HOBO U20L-04,20854450,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.99,4308686.179,2725.699,groundwater [ENVO:01001004],Well,3.234,3.386,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-Floodplain-VHG-115_WaterTemp.deg.C,6/28/21 12:00,Onset,HOBO U20L-04,21145254,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324115.62,4308692.04,2726.02,groundwater [ENVO:01001004],Well,1.074,1.226,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-Floodplain-VHG-115_DTW.m,6/28/21 12:00,Onset,HOBO U20L-04,21145254,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324115.62,4308692.04,2726.02,groundwater [ENVO:01001004],Well,1.074,1.226,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-Floodplain-VHG-115_WaterLevelElev.masl,6/28/21 12:00,Onset,HOBO U20L-04,21145254,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324115.62,4308692.04,2726.02,groundwater [ENVO:01001004],Well,1.074,1.226,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-Floodplain-VHG-160_WaterTemp.deg.C,6/28/21 12:00,Onset,HOBO U20L-04,21132094,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324115.48,4308692.31,2726.022,groundwater [ENVO:01001004],Well,1.524,1.676,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-Floodplain-VHG-160_DTW.m,6/28/21 12:00,Onset,HOBO U20L-04,21132094,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324115.48,4308692.31,2726.022,groundwater [ENVO:01001004],Well,1.524,1.676,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-Floodplain-VHG-160_WaterLevelElev.masl,6/28/21 12:00,Onset,HOBO U20L-04,21132094,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324115.48,4308692.31,2726.022,groundwater [ENVO:01001004],Well,1.524,1.676,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA